title,videoLink
 8K超清重庆解放碑日转夜延时摄影,https://video.699pic.com/videos/58/55/67/a_Dxes0HcEgdqv1597585567_10s.mp4
 陆家嘴航拍夜至日延时8K,https://video.699pic.com/videos/43/44/15/b_7xwNsZm53gJA1596434415_10s.mp4
 实拍党旗素材,https://video.699pic.com/videos/55/10/06/a_7hdczNIzJZHf1615551006_10s.mp4
 8K梅里雪山星空延时,https://video.699pic.com/videos/82/59/77/a_VH4fpFEXP4Ct1599825977_10s.mp4
 8K成都春熙路商业步行街人流延时摄影,https://video.699pic.com/videos/32/31/02/a_XnT9X6WNvQfD1599323102_10s.mp4
 8K成都地标建筑熊猫塔夜景339城市延时,https://video.699pic.com/videos/80/89/36/b_W3BUbMPw7PYu1599808936_10s.mp4
 北京故宫角楼城墙8K延时 ,https://video.699pic.com/videos/69/44/45/b_0Stwq9zPdMQX1596694445_10s.mp4
 五角场无人机环绕延时8K,https://video.699pic.com/videos/91/87/51/b_cr0He7Re7UDz1597918751_10s.mp4
 8k航拍延时夕阳下的广州塔,https://video.699pic.com/videos/88/75/41/a_cIk0RMBnpPwM1613887541_10s.mp4
 8K延时航拍日出朝霞下的长春市,https://video.699pic.com/videos/59/50/28/b_bztD1mtFkavD1602595028_10s.mp4
 8K成都商圈IFS金融国际太古里延时赛博朋克夜景,https://video.699pic.com/videos/39/57/59/b_RFcDb05Zbg6W1600395759_10s.mp4
 成都地铁人流延时8k【该视频无肖像权，请勿商用】,https://video.699pic.com/videos/01/13/89/b_N4fA2ezfiAI31600011389_10s.mp4
 8K上海南京路步行街大范围延时,https://video.699pic.com/videos/10/34/06/a_UiNcQFdzQJf31593103406_10s.mp4
 8K实拍城市建筑工地吊塔工作延时摄影,https://video.699pic.com/videos/40/65/20/a_U9aykQTSuKET1604406520_10s.mp4
 夏日阳光天气8K天空云雾延时视频素材,https://video.699pic.com/videos/75/45/03/a_RPdpVer7UtpC1593754503_10s.mp4
 8K成都市城市日转夜延时摄影,https://video.699pic.com/videos/62/61/92/a_j7QvsFPI5ih81599626192_10s.mp4
 10K延时我的祖国首都北京天安门,https://video.699pic.com/videos/89/40/32/a_xyqVQb392Fsw1596894032_10s.mp4
 北京城市日出时间8K延时,https://video.699pic.com/videos/21/13/08/b_2FYce5YCVDyp1608211308_10s.mp4
 8K草原日落延时,https://video.699pic.com/videos/61/65/18/a_iTszKrdYYFBU1587616518_10s.mp4
 8K城市发展建设延时摄影,https://video.699pic.com/videos/08/97/52/a_gtED6RPdD5wj1594089752_10s.mp4
 8K古建筑朝霞日出延时,https://video.699pic.com/videos/39/37/34/a_qRRTjTVuzAz11599393734_10s.mp4
 8k实拍手术室麻醉泵场景,https://video.699pic.com/videos/37/75/83/a_SsBwHMy3kP4B1618377583_10s.mp4
 8K重庆CBD著名地标解放碑商圈水中倒影延时摄影,https://video.699pic.com/videos/87/67/63/a_hpGFX6Dv2eEb1593876763_10s.mp4
 成都娇子立交8k延时,https://video.699pic.com/videos/37/96/69/b_rxaSjbMfmqcX1599379669_10s.mp4
 北京金山岭长城8K延时,https://video.699pic.com/videos/56/32/20/b_nUkRYx0n0eX21595563220_10s.mp4
 8K乡村峡谷延时,https://video.699pic.com/videos/65/53/35/b_38zv08knkHnb1605655335_10s.mp4
 北京北海公园荷花日落8K延时,https://video.699pic.com/videos/81/35/55/b_0yzhyujmC6kd1596813555_10s.mp4
 8K延时拍摄正午阳光洒落下照耀的教室,https://video.699pic.com/videos/84/50/80/b_PGmEE1cp4pDU1600845080_10s.mp4
 西安秦岭分水岭银河8k延时,https://video.699pic.com/videos/24/70/37/b_PKd4GqpynfCy1599247037_10s.mp4
 8k延时中国南方电网电塔素材,https://video.699pic.com/videos/85/57/94/b_yg9rSDrGd6jT1596855794_10s.mp4
 8K海边泳装情侣拿着冲浪板散步,https://video.699pic.com/videos/16/51/18/a_n9gWjSd6jaKp1619165118_10s.mp4
 8K云南大理喜洲古镇旅游景点宣传延时素材,https://video.699pic.com/videos/00/08/60/b_jmiJ5y60cgp91605000860_10s.mp4
 8K高清深圳科技园夜景都市光轨延时,https://video.699pic.com/videos/21/53/97/a_r491wMJ6vpxd1597215397_10s.mp4
 8k西安大唐不夜城古建筑航拍夜景城市,https://video.699pic.com/videos/22/28/95/b_McXiMYkDsVtJ1618222895_10s.mp4
 8K室内商业街电梯扶梯移动延时,https://video.699pic.com/videos/26/29/65/a_svknuHuaE4B61593262965_10s.mp4
 8K上海万国建筑群大范围延时,https://video.699pic.com/videos/53/52/27/a_in76HXmNGvc41593535227_10s.mp4
 8K延时青海海西东台吉乃尔盐湖,https://video.699pic.com/videos/10/84/75/a_HAD2NtJTjq351603108475_10s.mp4
 8K成都春熙路商圈步行商业街夜景赛博朋克风格延时摄影,https://video.699pic.com/videos/18/27/55/a_EAARTpIhvDK91600182755_10s.mp4
 西安高新cbd迈科车流和白云延时,https://video.699pic.com/videos/11/18/99/a_x3cE6i1gFwwS1598111899_10s.mp4
 8K成都天府五街红唐商圈CBD建筑地标夜景赛博朋克延时摄影,https://video.699pic.com/videos/96/77/69/a_ZyMJ2UevgFCV1599967769_10s.mp4
 8K上海世博会中国馆大范围延时,https://video.699pic.com/videos/18/91/15/a_TDZ4HRscyZq61593189115_10s.mp4
 8k延时云南迪庆冬季梅里雪山山顶,https://video.699pic.com/videos/08/76/52/b_fiHhcSrcnRwq1614087652_10s.mp4
 8K超清震撼成都市城市日出朝霞延时摄影,https://video.699pic.com/videos/67/21/31/a_GVmRXTAgkXHM1599672131_10s.mp4
 8k洱海星空,https://video.699pic.com/videos/37/36/41/a_MnDwVaXjPieR1596373641_10s.mp4
 8K布达拉宫大范围延时,https://video.699pic.com/videos/81/91/26/a_JfGD2K8JMD3b1599819126_10s.mp4
 北京奥林匹克与CBD日转夜8K延时,https://video.699pic.com/videos/99/96/55/b_I22vAeIXDCqI1599999655_10s.mp4
 8K太阳能发电日落延时,https://video.699pic.com/videos/60/32/59/a_YC90cTXYtseN1603603259_10s.mp4
 8K成都太古里CBD商圈延时摄影,https://video.699pic.com/videos/26/27/59/a_wF1WXtD7jeEG1600262759_10s.mp4
 北京景山万春亭日出8K延时,https://video.699pic.com/videos/10/08/02/b_bZwxU4VYD8a31605100802_10s.mp4
 8K仙人掌开花延时,https://video.699pic.com/videos/38/59/60/b_6CAWZSxkJGU91610385960_10s.mp4
 苏州CBD日转夜空中延时8K,https://video.699pic.com/videos/28/07/74/b_105c0Nt2ZWcW1597280774_10s.mp4
 8K沙漠日落,https://video.699pic.com/videos/56/78/81/b_Y6MABhg7Sqm51602567881_10s.mp4
 8K城市日转夜日落延时,https://video.699pic.com/videos/52/07/18/a_hTktX5xV8c221595520718_10s.mp4
 8K青岛台东步行街夜市人流,https://video.699pic.com/videos/81/00/20/a_fEDI4srua7ir1616810020_10s.mp4
 8K海边嬉戏的泳装情侣,https://video.699pic.com/videos/07/40/84/a_GxZyzdFmuxBM1619074084_10s.mp4
 8K全景深圳人才公园地标子弹头,https://video.699pic.com/videos/10/90/63/a_4EdxvpruKJcr1598109063_10s.mp4
 8K重庆城市立交渝中区日转夜轨迹延时,https://video.699pic.com/videos/65/79/51/a_4MtY41W2KfhI1592657951_10s.mp4
 8K实拍中国100周年党旗飘飘,https://video.699pic.com/videos/29/24/02/a_IzKeTCuMzrmI1617292402_10s.mp4
 8K上海外滩人流大范围移动延时,https://video.699pic.com/videos/70/73/04/a_x6BAkmtjcZFf1592707304_10s.mp4
 北京金山岭晚霞8K延时,https://video.699pic.com/videos/42/33/92/b_N2XYmKJ84Uq41595423392_10s.mp4
 苏州中轴线穿越延时8K ,https://video.699pic.com/videos/28/10/59/b_VHDH2aFWvK5Z1597281059_10s.mp4
 8k清晨日出剪影倒影素材,https://video.699pic.com/videos/13/26/79/b_1txc3YpHEbIp1616132679_10s.mp4
 8K广州CBD建筑群,https://video.699pic.com/videos/88/83/88/a_TiRgSWMGY7jj1613888388_10s.mp4
 8K太阳能光电池板延时素材,https://video.699pic.com/videos/33/20/35/a_xfD7YMfZh8KX1602332035_10s.mp4
 8K上海陆家嘴大范围延时,https://video.699pic.com/videos/06/68/04/a_gYIn4rGsWaBw1593066804_10s.mp4
 步行街移动延时8K,https://video.699pic.com/videos/96/70/48/a_0W13jjRRMQrZ1599967048_10s.mp4
 8k实拍医生正在做超声检查,https://video.699pic.com/videos/02/17/75/a_x4wamUg8zEvt1618021775_10s.mp4
 8K航拍广州地标建筑群日转夜延时,https://video.699pic.com/videos/85/02/14/a_nNID18M3r22y1614850214_10s.mp4
 8k病房输液点滴,https://video.699pic.com/videos/01/66/07/a_he8yBJygHtTd1618016607_10s.mp4
 8K海边拍摄景色的情侣,https://video.699pic.com/videos/07/06/18/a_901AhTwAC3YU1619070618_10s.mp4
 老人跑步锻炼身体,https://video.699pic.com/videos/63/58/26/a_VDRpDpJhEEbj1620635826_10s.mp4
 无锡市城市延时航拍8K,https://video.699pic.com/videos/55/14/51/b_6DXEcGNZsrh11602551451_10s.mp4
 8K重庆老君洞鸟瞰重庆全景延时摄影,https://video.699pic.com/videos/89/82/99/a_AWmWMJt3jCbJ1597898299_10s.mp4
 8K【城市宣传片】上海延时陆家嘴夜景合集,https://video.699pic.com/videos/06/45/01/b_8F9kgq0UUt3C1600064501_10s.mp4
 北京天安门白转晚8K延时,https://video.699pic.com/videos/19/93/41/b_5ZTacKHYDSpf1597199341_10s.mp4
 8K昆明官渡古镇大范围延时,https://video.699pic.com/videos/37/17/46/a_R69SgXzS64T71596371746_10s.mp4
 重庆洪崖洞夜景渝中区凔百路夜景渝中半岛夜景8k,https://video.699pic.com/videos/48/88/60/a_zIq8ENn0taue1597488860_10s.mp4
 8K山顶日出云海延时,https://video.699pic.com/videos/80/47/75/b_RnmMNIAq3hGQ1615804775_10s.mp4
 8k翡翠主播直播介绍翡翠,https://video.699pic.com/videos/22/93/34/a_KsHVdFYHyZdF1602229334_10s.mp4
 南京城市CBD紫峰日落时段航拍延时摄影8K,https://video.699pic.com/videos/97/53/20/b_BX5rdSt0FEVy1596975320_10s.mp4
 8K成都地标IFS大楼蓝天白云,https://video.699pic.com/videos/32/25/96/a_51bNVksUfiVT1599322596_10s.mp4
 学校操场讲台大范围移动延时,https://video.699pic.com/videos/44/52/05/a_WGURQEX8epDW1603445205_10s.mp4
 实拍城市人行道维修素材,https://video.699pic.com/videos/65/90/54/a_HEeTiihkAbaG1620659054_10s.mp4
 8k延时石鼓镇长征红军纪念素材,https://video.699pic.com/videos/82/37/74/b_HIEAMKyQZfpn1599823774_10s.mp4
 合肥万象城商务区日转夜延时8K,https://video.699pic.com/videos/13/15/44/b_5v2XkJBF5Vyx1600131544_10s.mp4
